ug/g{Hgb},MicroGramsPerGramHemoglobin [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/g Hgb,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerGramHemoglobin,1,79
mg/g,MilliGramsPerGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mg/g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MilliGramsPerGram,1,80
mg/g{Cre},MilliGramPerGramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mg/g Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MilliGramPerGramCreatinine,1,81
g/g,GramsPerGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,GramsPerGram,1,82
ng/kg,NanoGramsPerKiloGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ng/kg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,NanoGramsPerKiloGram,1,83
ug/kg,MicroGramsPerKiloGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/kg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerKiloGram,1,84
mg/kg,MilliGramsPerKiloGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mg/kg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MilliGramsPerKiloGram,1,85
g/kg,GramsPerKiloGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/kg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,GramsPerKiloGram,1,86
g/[100]g,GramsPer100Gram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/100g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,GramsPer100Gram,1,87
g/g{Cre},GramsPerGramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/g Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,GramsPerGramCreatinine,1,88
pmol/umol,PicoMolesPerMicroMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,pmol/umol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,PicoMolesPerMicroMole,1,89
nmol/mmol,NanoMolesPerMilliMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,nmol/mmol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,NanoMolesPerMilliMole,1,90
nmol/mmol{Cre},NanoMolesPerMilliMoleCreatinine [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,nmol/mmol Cre,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,NanoMolesPerMilliMoleCreatinine,1,91
nmol/mol,NanoMolesPerMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,nmol/mol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,NanoMolesPerMole,1,92
